[-0.18, -0.44, -0.15, 0.64, -1.01, 0.4, -0.16, -0.55, -0.05]AAL[-0.46, 0.14, 0.21, -0.12, 0.13, 0.51, 0.51, 0.18, 0.29]AAL[0.29, 0.4, 0.44, 0.47, -0.65, 0.68, 0.65, 0.08, -0.11]AAL[-0.25, -0.19, 0.52, 0.02, -0.54, -0.66, -0.7, 0.05, 0.65]AAL -756000.0, 2133500.0, 21620400.0, -16251900.0, -4273600.0, 3370800.0, -2803100.0, -5850700.0;AAL
-0.46, 0.14, 0.21, -0.12, 0.13, 0.51, 0.51, 0.18, 0.29;-0.34, 0.2, 0.01, 0.32, 0.12, -0.02, 0.63, 0.25, 0.27;-0.3, 0.48, 0.21, -0.07, 0.15, 0.24, 0.54, 0.25, 0.34;0.24, 0.15, 0.02, 0.18, 0.29, 0.15, 0.52, 0.25, 0.1;2232600.0, -2028500.0, -1246900.0, 1233200.0, 798000.0, -498700.0, 5567100.0, -4117900.0, 1468400.0;AAL
0.29, 0.4, 0.44, 0.47, -0.65, 0.68, 0.65, 0.08, -0.11;0.45, 0.6, 0.16, 0.18, -0.21, 0.52, 0.48, 0.1, -0.14;0.24, 0.53, 0.45, -0.05, -0.17, 0.7, 0.46, 0.0, -0.1;0.37, 0.41, 0.34, -0.27, 0.31, 0.49, 0.45, -0.23, -0.14;2037300.0, 2380900.0, -2996700.0, 9284400.0, -11153600.0, 5291200.0, -985500.0, -79000.0, -2195600.0;AAL
-0.25, -0.19, 0.52, 0.02, -0.54, -0.66, -0.7, 0.05, 0.65;-0.16, -0.07, 0.32, 0.04, -0.63, -0.58, -0.21, 0.08, 0.18;0.15, -0.17, 0.49, -0.28, -0.83, -0.58, -0.01, -0.09, 0.5;-0.09, 0.14, 0.32, -0.3, -0.93, -0.21, 0.16, 0.03, 0.12;-1501500.0, -1361400.0, 2787000.0, -3101800.0, 9373300.0, 62700.0, -9138000.0, -268000.0, -1471600.0;AAL
0.36, 0.43, -1.76, -0.38, 0.62, -1.11, -0.49, -1.67, 0.46;0.88, -0.37, -1.25, -0.29, -0.21, -1.06, -0.72, -1.22, 0.35;0.71, -0.79, -0.65, 0.11, -0.59, -0.87, -0.72, -0.85, 0.54;0.71, -1.72, -0.13, -0.06, -0.92, -0.02, -1.59, -0.4, 0.68;-29138991.0, 22799938.0, -33107368.0, -29912841.0, 9115477.0, 10929415.0, 10037321.0, -7294546.0, -29012998.0;AAPL
-1.43, 0.66, -0.63, -0.86, -1.46, -0.9, 1.86, -1.43, 0.76;-0.51, 0.13, -0.65, -1.38, -1.43, 1.0, 0.01, -0.46, 0.49;-0.7, 0.43, 0.11, -1.63, -1.57, 0.25, 0.53, -0.48, 1.08;0.88, -0.63, -0.45, -1.56, -1.49, 1.58, -0.78, 0.7, 0.16;32197060.0, 21578025.0, -66142300.0, 57366659.0, 7507325.0, 13891654.0, -44394840.0, 2089661.0, -19138399.0;AAPL
0.84, -1.02, 0.63, 0.73, 0.5, 2.58, -0.3, -1.03, 0.62;-0.02, -0.63, 0.02, 1.37, 1.89, 0.5, -0.48, 0.05, 0.59;0.35, -0.32, 0.73, 0.97, 0.56, 1.04, 0.16, 0.07, 0.43;-1.35, -0.01, 0.59, 1.59, 1.72, -0.18, -0.34, 0.09, 1.31;-2003785.0, -14899290.0, -25534145.0, 84875700.0, -10269462.0, -18909436.0, -54514859.0, 18476675.0, 3077067.0;AAPL
0.11, -1.28, -0.95, -1.13, -2.04, 0.54, 0.34, -1.32, 0.05;-0.59, -1.29, -0.71, -1.16, -0.79, -0.12, -0.33, -1.44, 0.36;-0.18, -1.4, -1.3, -1.98, -0.19, 0.56, -0.72, -0.8, 0.4;-0.35, -1.29, -1.35, -1.96, 0.13, 0.31, -0.61, -0.65, 0.43;-51644957.0, 8426201.0, 28843598.0, -13403586.0, 35055601.0, -41630540.0, -1130150.0, 6153756.0, -20573441.0;AAPL
0.25, 0.8, 0.06, -1.02, -0.78, -0.19, -2.18, -2.43, 0.67;1.22, 0.13, -0.55, -0.89, -0.18, -0.86, -2.12, -0.88, 0.37;0.47, 0.74, -0.3, -1.36, 0.15, -3.21, -1.2, -0.66, 0.88;1.24, -0.19, -0.65, -1.42, 0.91, -3.35, -1.54, -0.22, 1.16;17280340.0, -11822216.0, -22422617.0, 19506060.0, -2934995.0, 159916890.0, -69700918.0, -14243635.0, -44856091.0;AAPL
0.31, -0.26, 0.51, -0.24, 0.17, 0.29, 1.3, -1.16, -0.06;-0.81, -0.28, 0.5, 0.59, -0.54, 2.26, -0.5, -0.89, -0.59;-0.78, 0.28, 0.34, 0.73, -0.65, 0.64, 0.82, -0.83, 0.07;-0.51, 0.21, 0.37, -0.13, 0.16, 1.72, -1.22, -0.44, 0.15;-540121.0, 118843.0, 161715.0, -33198.0, 241687.0, 483627.0, -1081997.0, 266467.0, -376972.0;AAP
-1.04, -1.13, 0.06, -0.98, -0.13, 0.83, 0.03, -1.06, 0.4;-0.81, -1.34, 0.01, -0.93, 0.59, 0.24, -0.25, -0.49, 0.41;-1.94, -0.2, 0.12, -0.72, 0.48, 0.62, -0.75, -0.27, -0.07;-1.21, 0.15, -0.96, 0.03, 0.65, -0.07, -0.77, 0.04, 0.62;410334.0, -269332.0, 459900.0, 91911.0, -174196.0, 189584.0, -32336.0, -289868.0, -229422.0;AAP
0.38, 0.28, 1.36, -1.0, 1.19, 1.55, -0.57, -0.16, 0.21;-0.4, 1.19, 0.27, 0.47, 1.17, 0.18, -0.24, 0.02, -0.28;0.05, 0.43, 0.04, 0.05, 1.6, 0.76, 0.03, 0.05, -0.88;-0.17, 1.41, -1.1, 1.9, 1.13, -0.63, 0.15, -0.19, -0.22;-28827.0, -15559.0, 118258.0, 474724.0, -18757.0, 151021.0, -641738.0, -112246.0, -29578.0;AAP
1.03, 0.16, 0.32, 1.2, -0.05, 0.31, -0.6, -0.58, -0.62;0.67, 0.09, 1.37, -0.04, -0.12, 0.04, 0.02, -1.35, -0.47;1.23, 0.4, 0.33, 0.37, -0.33, 0.17, 0.43, -1.18, -0.4;1.07, 0.04, 1.01, -0.31, 0.49, -0.71, 0.08, -1.25, -0.32;-181319.0, -418388.0, 736073.0, -537923.0, 206936.0, -110235.0, -26568.0, 94412.0, -76400.0;AAP
0.1, -0.36, 0.0, -0.09, -1.24, -1.27, 0.63, -0.7, -0.31;-0.17, -0.23, 0.29, -0.46, -0.54, -1.12, -0.27, -0.71, -0.07;-0.55, 0.05, 0.18, -0.32, -2.15, 0.0, 0.02, -0.76, 0.11;-0.48, 0.02, 0.13, -0.17, -2.33, 0.76, -0.77, -0.61, 0.17;1090650.0, -541674.0, -321393.0, 1773907.0, 10831070.0, -10541174.0, -242958.0, -458034.0, -60287.0;A
-1.47, 0.37, 0.79, -0.6, 0.57, 0.6, 0.65, 0.3, 0.2;-0.93, 0.62, 0.16, -0.08, 0.2, 1.01, 0.33, -0.04, 0.04;-1.1, 0.64, 0.62, -0.72, 0.79, 0.82, 0.56, -0.09, 0.21;-0.32, 0.76, -0.25, 0.45, 0.1, 0.63, 0.58, 0.01, -0.22;2563351.0, -2621426.0, -100183.0, -374879.0, -654017.0, 853882.0, -292280.0, -582722.0, 842115.0;A
-0.19, -0.24, 0.47, 0.07, -0.64, 0.22, -0.43, 0.2, -0.66;-0.01, 0.05, 0.33, -0.16, -0.52, 0.12, -0.04, -0.02, -0.97;0.86, -0.19, 0.6, -0.12, -0.7, -0.59, 0.63, -0.59, -0.72;-0.19, 0.38, 0.32, -0.31, -0.46, -0.55, 0.7, -1.05, -0.4;-1705224.0, -1526527.0, 599517.0, -260913.0, -731924.0, 4398677.0, -3006129.0, 1168770.0, 1015943.0;A
-0.09, 0.0, 0.68, -0.25, -0.71, -0.49, -0.09, 0.19, 0.71;0.17, 0.37, -0.11, -0.1, -0.62, -0.37, 0.48, 0.38, -0.11;0.53, -0.11, 0.29, -0.71, -0.2, -0.27, 0.22, 0.13, 0.5;0.69, 0.27, -0.12, -1.04, -0.27, -0.14, 0.89, 0.13, 0.12;-283956.0, 856414.0, -1222068.0, 393431.0, -186941.0, 2924560.0, -1360109.0, 1040293.0, -2563734.0;A
